region_name,region_population,avg_rainfall_mm,soil_quality_index,temperature_celsius,major_crop_type,crop_area_hectares,crop_yield_tonne,fertilizer_demand_kg,pesticide_demand_litre,seed_demand_kg,irrigation_need_index,market_price_index,agri_infrastructure_score,subsidy_level
West Bengal - North District 534,41293,1013.8,74.0,27.6,Maize,74.9,363.42,7760.0,181.74,1581.9,73.7,94.9,53.6,13.2
Puducherry - Urban District 535,21435,1076.5,52.4,27.4,Wheat,45.7,277.1,5330.8,83.2,2478.4,62.3,109.7,47.4,29.9
Ladakh - Valley District 536,48720,1467.3,33.9,22.1,Rice,88.4,613.75,13995.6,194.55,3938.2,46.5,111.1,53.5,8.1
Uttar Pradesh - Hills District 537,72615,1178.1,68.4,23.2,Rice,55.5,345.92,7036.4,122.73,2443.2,55.5,108.3,100.0,0.0
Manipur - Plains District 538,63241,620.6,66.7,21.0,Wheat,94.4,310.37,9651.1,150.24,4966.7,60.9,111.0,54.2,0.0
Kerala - Plains District 539,70615,519.4,68.1,26.5,Maize,103.9,492.84,10685.4,291.44,1914.0,91.9,110.4,82.7,0.0
Punjab - Hills District 540,161729,1378.4,53.9,28.2,Wheat,322.7,1785.94,29708.6,557.04,16914.9,48.1,90.0,73.9,0.0
Telangana - North District 541,19285,1609.6,91.5,23.4,Wheat,30.0,273.34,2666.3,49.31,1426.6,58.0,90.7,58.9,51.8
Goa - Plains District 542,19380,1329.9,73.4,27.3,Rice,30.0,205.13,3756.8,72.5,1265.6,51.0,115.6,37.2,20.5
Ladakh - Delta District 543,65814,1559.4,75.9,27.2,Maize,105.0,935.83,12107.4,400.97,2093.4,48.7,123.2,71.0,0.0
Punjab - Coastal District 544,22023,1214.7,66.8,27.9,Rice,30.0,144.67,3580.2,43.92,1150.6,70.1,89.2,32.4,58.2
Arunachal Pradesh - Plateau District 545,21210,794.9,36.6,28.5,Rice,30.0,119.72,4818.0,52.07,1178.8,70.1,101.5,48.8,38.7
Rajasthan - North District 546,14544,748.4,58.1,26.5,Wheat,30.0,70.97,3268.3,38.8,1441.5,89.0,122.2,45.3,11.0
Puducherry - Valley District 547,9174,532.9,67.8,29.4,Rice,30.0,132.11,3961.9,57.11,1172.1,86.6,98.2,40.1,38.1
West Bengal - Valley District 548,9704,1329.1,76.5,25.8,Wheat,30.0,221.73,2883.9,72.85,1694.7,50.4,109.3,60.0,55.6
Goa - Valley District 549,23304,1135.2,63.4,24.0,Maize,38.4,230.88,4511.4,87.2,755.4,61.5,98.9,61.2,20.2
Meghalaya - North District 550,4842,1829.9,57.3,22.8,Rice,30.0,285.43,3590.2,96.72,1259.2,33.1,111.2,34.2,58.5
Arunachal Pradesh - Plateau District 551,28739,675.9,53.7,25.0,Maize,34.5,141.19,4275.2,77.27,726.8,79.9,106.0,49.6,5.5
Rajasthan - Delta District 552,23270,951.8,33.2,23.5,Rice,42.8,199.96,6646.7,95.38,1699.2,50.0,97.9,55.0,3.2
Goa - West District 553,79217,1251.8,57.5,24.2,Wheat,80.9,364.37,8407.3,100.6,4119.9,58.4,118.1,46.5,0.3
Bihar - Central District 554,80840,1617.6,84.4,30.9,Wheat,156.2,1111.27,11444.6,275.34,7588.5,34.6,106.0,46.9,0.0
Chhattisgarh - Plateau District 555,35699,906.7,42.1,22.6,Rice,72.0,335.88,10623.5,145.49,3141.9,72.7,113.2,37.5,25.2
Nagaland - Urban District 556,13383,882.3,58.2,27.3,Wheat,37.9,147.15,4102.8,63.3,1832.2,68.8,99.0,56.8,36.7
Himachal Pradesh - Rural District 557,40950,452.9,54.5,25.9,Rice,83.3,314.05,10747.7,191.11,3438.5,83.9,121.0,68.4,22.0
Tamil Nadu - Valley District 558,13341,934.0,64.2,27.8,Wheat,30.0,168.41,2934.7,38.02,1657.4,66.6,108.7,43.0,34.9
Maharashtra - Central District 559,4541,1276.5,49.7,30.3,Rice,30.0,220.1,4087.8,49.82,1121.0,45.8,103.9,53.4,37.1
Maharashtra - Valley District 560,24519,803.0,63.7,21.2,Pulses,38.4,29.19,1694.2,24.72,1132.6,70.2,98.6,45.5,48.1
Assam - North District 561,20102,1322.2,40.6,31.0,Rice,30.0,194.42,4360.6,68.81,1212.7,46.6,112.5,55.4,36.3
West Bengal - North District 562,37890,936.4,53.7,24.4,Maize,61.3,386.53,6581.2,171.37,1206.4,73.1,106.8,58.7,22.2
Uttar Pradesh - North District 563,11801,1201.9,49.6,22.4,Maize,30.0,166.69,3583.3,89.8,632.2,40.3,106.4,44.8,25.6
Goa - Plains District 564,21444,1262.9,74.0,29.9,Maize,30.0,205.84,2759.9,87.47,646.2,40.7,106.2,36.3,26.3
Nagaland - Delta District 565,6964,1321.2,55.5,22.2,Wheat,30.0,192.21,3230.0,46.48,1578.5,36.9,111.5,40.4,67.0
Odisha - Urban District 566,20339,1210.9,72.5,32.9,Maize,35.6,285.77,3804.8,99.45,668.4,42.6,121.1,47.8,25.8
Sikkim - Hills District 567,20759,694.2,46.9,28.9,Wheat,40.2,131.56,4938.3,48.0,2003.6,78.1,108.7,64.3,5.0
Punjab - East District 568,63907,779.9,90.3,28.9,Maize,80.2,460.28,6496.0,212.09,1533.4,72.7,103.5,56.0,0.0
Madhya Pradesh - North District 569,13308,719.0,73.8,21.3,Maize,30.0,148.71,3850.7,91.37,563.1,70.9,108.7,50.3,41.0
Goa - Plains District 570,58937,1702.1,87.9,22.0,Rice,118.8,888.6,11324.2,373.62,4407.7,39.5,102.6,65.3,12.8
West Bengal - Rural District 571,93478,1283.1,75.6,27.2,Maize,183.6,1450.58,19238.9,573.31,3421.1,67.8,108.3,58.1,0.0
Gujarat - Plains District 572,23506,1543.5,69.7,26.6,Rice,45.0,388.45,5914.1,116.45,1793.6,51.0,106.5,51.2,30.7
Puducherry - Plains District 573,9887,1002.1,84.7,26.1,Wheat,30.0,138.0,2807.1,56.08,1540.1,70.4,97.3,69.8,29.0
Odisha - East District 574,12375,1392.2,36.5,23.7,Wheat,30.0,190.19,3956.7,52.69,1407.8,60.2,97.7,51.9,40.1
Tripura - North District 575,9801,1495.6,56.4,25.3,Wheat,30.0,156.4,2810.0,45.96,1605.3,43.7,94.2,33.8,37.2
Bihar - West District 576,5649,652.0,55.5,28.3,Maize,30.0,116.25,3524.4,78.74,636.5,53.1,107.1,53.2,57.8
Assam - Central District 577,4561,1177.3,42.3,25.3,Rice,30.0,159.38,4813.3,49.98,1373.6,55.4,102.3,42.7,22.7
Arunachal Pradesh - Hills District 578,33706,1812.3,66.9,23.6,Rice,34.7,296.52,4301.8,84.69,1497.6,43.2,106.1,75.0,2.1
Goa - Rural District 579,18869,906.4,78.0,26.6,Wheat,38.7,173.5,3531.2,62.3,1875.4,66.9,106.8,51.8,13.8
Maharashtra - South District 580,13473,1513.0,62.2,25.2,Rice,30.0,211.88,3960.6,76.74,1174.6,40.1,97.5,69.1,43.0
Punjab - Urban District 581,40395,590.7,73.0,18.7,Wheat,52.5,228.41,5339.3,76.16,2709.8,89.7,89.7,36.9,35.5
Gujarat - Central District 582,57442,1738.8,46.4,26.6,Wheat,98.2,540.57,10649.2,155.99,5155.5,47.3,117.5,86.2,0.0
Puducherry - East District 583,16447,890.5,56.0,33.3,Maize,30.7,194.78,3664.6,70.45,687.6,55.2,116.8,44.0,37.5
Karnataka - South District 584,47246,1369.9,97.0,24.4,Pulses,107.3,160.96,3497.1,57.05,3321.6,54.1,95.4,83.3,10.1
Arunachal Pradesh - Central District 585,35283,1094.4,67.1,27.1,Pulses,30.0,12.37,1308.0,19.72,839.7,76.2,104.1,46.9,5.4
Meghalaya - Hills District 586,35519,850.5,52.7,30.7,Wheat,52.3,212.24,4842.0,79.46,2701.6,73.5,106.2,55.7,23.9
Jharkhand - Delta District 587,12503,914.9,93.2,31.2,Rice,30.0,166.82,3044.2,64.84,1137.7,46.9,95.3,42.7,36.1
Gujarat - Hills District 588,180268,922.4,38.6,25.7,Wheat,226.3,639.11,23280.6,225.8,11714.1,57.7,103.5,76.8,0.0
Manipur - Plains District 589,28518,1067.6,59.9,30.4,Rice,48.8,248.74,6646.8,117.87,1929.5,64.4,117.2,59.2,13.0
Punjab - Valley District 590,11667,1065.8,62.4,25.9,Pulses,30.0,105.67,1347.7,25.74,889.8,67.1,97.4,72.5,47.1
Delhi - North District 591,116070,1676.7,53.6,26.6,Rice,180.1,1466.34,20328.2,448.75,8041.4,44.0,113.0,70.7,0.0
Uttarakhand - Hills District 592,26663,738.6,58.4,24.9,Wheat,41.1,138.73,3878.1,43.17,1828.2,72.1,96.1,73.8,17.7
Odisha - Coastal District 593,33229,1666.7,55.9,20.3,Maize,53.2,451.33,6219.0,131.86,1085.4,46.0,115.7,45.9,32.3
Haryana - North District 594,9032,1526.4,63.4,30.8,Maize,30.0,271.63,3546.4,71.7,562.7,55.5,97.5,52.4,56.6
Goa - North District 595,58119,917.9,60.4,28.6,Maize,90.8,452.37,11937.1,245.16,1809.7,58.7,101.3,72.5,0.0
Uttarakhand - Rural District 596,41060,895.0,59.0,29.3,Rice,50.8,192.69,8006.6,98.32,2291.6,53.1,92.7,44.8,8.3
Kerala - Plateau District 597,16781,620.3,42.0,26.3,Rice,30.0,62.41,4354.7,53.36,1190.4,76.6,127.3,56.8,20.5
Jammu & Kashmir - East District 598,48016,1085.7,29.8,22.7,Wheat,79.1,401.7,9895.7,117.65,3712.3,80.7,87.4,33.5,14.9
Chhattisgarh - North District 599,12568,1338.7,68.9,31.6,Wheat,30.0,145.04,2667.8,47.32,1483.3,64.1,92.1,61.5,24.5
Goa - Central District 600,71790,1293.6,54.7,22.2,Maize,182.3,1240.73,20085.2,599.37,3928.8,32.5,120.3,69.9,0.0
Meghalaya - Central District 601,70705,1305.8,43.9,29.1,Rice,127.4,779.05,18386.2,281.45,5383.0,45.4,108.1,63.4,0.0
Tripura - West District 602,14441,873.1,53.2,26.3,Wheat,30.0,84.57,3228.4,38.51,1521.2,59.8,117.9,9.1,23.2
Haryana - East District 603,51885,694.1,53.4,27.6,Rice,74.5,218.57,9865.8,141.45,3127.2,63.8,102.1,55.2,6.7
Madhya Pradesh - Rural District 604,7102,1163.0,87.8,23.4,Maize,30.0,235.97,2778.9,115.7,587.5,51.0,92.4,47.3,52.0
Sikkim - Urban District 605,33591,1311.7,65.9,27.8,Wheat,48.5,216.06,4831.7,70.3,2648.6,53.4,107.8,69.8,21.5
Ladakh - Coastal District 606,78286,1467.9,65.5,29.8,Pulses,133.1,342.97,5568.8,70.8,3776.8,59.7,110.5,53.3,0.0
Uttar Pradesh - Rural District 607,71731,882.0,23.7,30.6,Wheat,108.0,363.55,12279.4,174.42,5041.8,73.9,97.7,56.5,0.0
Karnataka - Coastal District 608,5907,1380.0,67.8,20.9,Maize,30.0,244.57,3108.3,92.78,657.3,58.1,104.3,49.5,53.4
Rajasthan - Coastal District 609,40729,1482.6,72.5,24.3,Maize,40.3,338.81,4365.7,101.42,749.7,45.9,111.7,43.6,29.5
Himachal Pradesh - Delta District 610,73922,757.0,72.4,28.3,Maize,116.7,560.16,12423.3,353.21,2341.7,69.9,104.9,39.1,0.0
Odisha - West District 611,44537,929.8,63.0,24.9,Pulses,92.2,204.2,3450.0,57.63,2768.6,62.8,110.6,50.4,16.5
West Bengal - East District 612,17771,865.5,40.6,27.0,Wheat,30.0,115.8,3057.3,39.6,1473.7,73.1,117.2,56.1,47.4
Nagaland - East District 613,20005,717.7,61.6,27.9,Wheat,33.6,87.62,3538.0,52.92,1721.9,68.4,91.0,59.4,32.5
Kerala - Hills District 614,65539,1217.6,53.3,29.7,Pulses,65.4,213.19,2622.3,53.53,2141.8,68.7,109.6,72.5,1.6
Nagaland - North District 615,24236,715.7,54.3,24.2,Maize,35.9,151.19,5026.8,73.58,763.4,75.2,106.2,38.1,41.3
Odisha - South District 616,12861,922.4,73.0,27.9,Wheat,30.0,150.81,2712.8,40.97,1380.0,61.0,92.2,63.3,40.6
Madhya Pradesh - West District 617,23743,701.0,55.9,27.4,Wheat,30.0,114.79,3185.2,44.44,1331.3,63.2,104.6,49.9,35.2
Tripura - North District 618,12402,1324.2,57.9,35.9,Maize,30.0,234.84,3769.5,93.55,604.3,54.4,101.5,44.6,41.8
Sikkim - Hills District 619,37862,824.7,54.3,24.3,Rice,50.2,278.59,6941.2,114.83,1961.1,70.2,105.5,57.2,24.5
Maharashtra - Plateau District 620,42754,636.5,68.5,28.9,Rice,82.1,363.77,9077.8,173.07,3303.3,67.0,85.8,66.8,0.0
Madhya Pradesh - South District 621,47706,723.9,61.2,33.8,Maize,30.0,123.31,3562.9,67.59,623.8,88.9,127.5,29.8,10.8
Manipur - Urban District 622,20550,1069.9,64.3,24.8,Wheat,34.4,172.99,3687.5,32.55,1867.5,54.6,94.0,40.2,21.3
Punjab - Valley District 623,11117,1037.0,64.7,27.5,Rice,30.0,174.93,3425.5,58.14,1268.8,59.2,105.2,46.3,38.0
Punjab - East District 624,35469,1314.9,64.8,29.5,Maize,62.5,450.74,6921.2,194.88,1154.1,63.2,103.6,39.4,17.4
Telangana - Coastal District 625,13885,1110.2,56.3,18.9,Maize,30.0,201.99,4003.7,92.64,673.0,55.7,105.8,61.2,48.3
Telangana - Coastal District 626,76776,948.1,68.0,22.3,Pulses,70.5,118.1,3154.4,42.92,2186.8,77.9,110.3,67.4,0.0
Rajasthan - Plains District 627,88036,1679.1,38.4,30.0,Maize,138.0,1292.07,17115.7,477.34,2522.2,39.9,101.0,64.3,0.0
Meghalaya - Coastal District 628,12862,602.8,42.8,19.6,Wheat,30.0,74.18,3600.2,33.65,1610.7,86.4,102.0,28.6,47.9
Himachal Pradesh - Central District 629,19125,1009.8,46.3,21.1,Wheat,31.6,131.42,3409.3,46.52,1646.2,63.4,117.6,67.7,32.5
Madhya Pradesh - Delta District 630,5145,930.9,100.0,34.7,Wheat,30.0,175.73,2321.2,58.45,1544.8,76.1,90.8,43.3,40.8
Sikkim - Plains District 631,14113,1508.1,53.6,27.1,Rice,30.0,212.11,3725.9,74.74,1223.0,52.7,108.5,50.8,45.8
Ladakh - East District 632,54919,1658.9,59.5,26.6,Pulses,74.4,192.63,3421.5,50.24,2362.8,45.7,96.4,64.0,2.6
Haryana - North District 633,20082,1451.4,67.7,28.0,Rice,42.0,260.85,5834.6,97.68,1570.8,58.0,107.9,72.1,33.8
Nagaland - Central District 634,13722,1254.1,89.4,24.2,Wheat,30.0,174.16,2458.7,47.63,1469.1,76.3,96.5,54.2,37.5
Uttarakhand - Hills District 635,43177,1292.6,70.5,30.8,Rice,50.4,361.19,5885.8,73.42,2115.2,54.8,121.0,59.8,15.6
Andhra Pradesh - North District 636,113424,1041.1,54.7,20.3,Rice,219.2,787.02,31155.3,343.56,9722.7,63.5,99.7,59.4,0.0
Manipur - North District 637,20666,1467.8,74.6,24.7,Maize,30.0,271.61,2923.0,105.29,625.6,38.0,104.9,50.9,30.6
Tripura - Valley District 638,34610,1397.6,59.5,21.2,Rice,64.1,433.0,7605.7,172.93,2544.8,39.5,109.4,51.5,8.7
Arunachal Pradesh - Rural District 639,19725,1119.4,62.0,26.8,Wheat,30.0,151.12,3196.7,40.08,1323.0,57.3,122.5,32.9,30.7
Himachal Pradesh - Plains District 640,16467,1293.2,55.3,36.2,Wheat,30.0,149.34,2811.1,41.78,1467.5,44.7,81.1,41.7,21.4
Madhya Pradesh - Delta District 641,11648,1500.4,59.2,22.5,Maize,30.0,256.38,3545.8,113.38,569.8,51.2,101.5,61.5,39.7
Karnataka - East District 642,199421,502.5,57.7,26.4,Wheat,335.0,1030.53,33110.6,567.7,16254.5,79.0,109.1,89.6,0.0
Karnataka - East District 643,14782,869.7,46.9,25.9,Wheat,30.0,96.54,3168.9,41.26,1516.4,61.0,99.6,40.4,50.1
Karnataka - Plateau District 644,80384,1278.7,63.9,31.2,Rice,95.3,628.92,11255.2,170.21,3361.5,49.2,108.9,52.6,0.0
Telangana - East District 645,20662,1074.1,63.3,24.1,Pulses,30.4,51.31,1350.9,19.41,926.3,57.6,107.6,65.8,21.3
Gujarat - Rural District 646,106562,444.0,28.0,24.4,Rice,144.1,447.77,23197.6,250.65,6049.5,73.2,118.1,57.8,0.0
Uttarakhand - Plateau District 647,64430,1330.0,77.2,19.6,Wheat,72.0,309.62,7465.1,102.65,3899.2,44.3,94.2,56.9,19.2
Arunachal Pradesh - West District 648,15919,1278.3,59.7,24.1,Maize,31.3,237.24,3550.7,110.04,630.2,40.4,88.7,46.8,12.3
Rajasthan - Central District 649,9368,940.8,39.2,26.9,Pulses,30.0,80.0,1231.9,26.11,887.3,75.0,111.5,38.6,11.6
Goa - East District 650,14043,1258.4,65.9,20.4,Rice,30.0,182.36,4050.5,72.18,1210.6,54.2,101.0,62.5,47.5
Jharkhand - North District 651,47872,759.3,81.0,30.4,Wheat,63.0,224.96,4885.2,101.76,3098.8,74.7,94.2,69.6,19.3
Telangana - Plains District 652,107611,1566.8,63.5,29.4,Wheat,154.6,1055.51,13920.3,222.39,7568.1,44.3,105.7,63.7,0.0
Arunachal Pradesh - Delta District 653,79228,722.3,74.0,32.1,Maize,96.3,430.71,10049.7,233.87,2142.9,69.1,100.1,65.2,0.0
Telangana - Valley District 654,18701,1049.6,77.2,26.2,Wheat,30.0,191.59,2476.6,39.46,1480.6,86.5,72.3,55.9,30.8
Nagaland - Coastal District 655,162729,1167.8,63.1,23.1,Maize,261.9,1866.25,29581.8,865.86,5070.9,72.1,112.1,99.5,0.0
Kerala - Delta District 656,17785,1511.1,38.4,21.2,Pulses,30.0,51.2,1463.5,17.53,888.4,65.5,112.7,60.1,40.1
Tamil Nadu - Urban District 657,16227,1211.9,49.3,27.3,Wheat,30.0,170.05,3586.4,54.64,1579.0,47.7,104.1,45.7,34.8
Tamil Nadu - Delta District 658,55613,1082.6,37.5,23.4,Rice,81.2,425.32,10818.9,135.2,3449.4,51.8,107.7,60.0,0.0
Sikkim - Coastal District 659,91191,662.9,71.5,29.7,Wheat,137.7,570.58,15585.7,188.58,5921.7,82.8,119.0,65.5,0.0
West Bengal - Hills District 660,26063,1203.8,48.1,23.7,Rice,54.4,364.19,8269.1,154.69,2140.8,57.7,111.9,46.1,16.9
Meghalaya - Coastal District 661,11680,994.6,54.7,23.1,Pulses,30.0,91.99,1154.8,22.12,940.8,62.5,115.1,43.8,51.2
Bihar - Plateau District 662,34419,704.6,63.1,28.3,Pulses,33.2,52.69,1259.1,20.17,951.2,81.5,109.8,54.2,8.9
West Bengal - Delta District 663,37743,1072.3,35.3,22.7,Wheat,57.7,270.86,6072.8,102.94,2670.2,65.8,114.2,67.7,25.1
Odisha - East District 664,19469,1205.7,27.3,23.1,Wheat,30.0,124.5,4384.0,35.75,1462.4,63.4,99.2,45.6,42.1
Tripura - Hills District 665,23662,797.4,50.2,27.4,Rice,30.0,126.76,3618.8,54.69,1285.7,93.6,101.5,57.1,21.4
Rajasthan - Valley District 666,10838,911.1,45.7,21.5,Maize,30.0,180.29,4304.0,101.74,600.8,71.6,101.2,66.5,61.8
Madhya Pradesh - North District 667,15248,1569.2,77.6,24.4,Wheat,30.0,161.92,2315.0,38.58,1511.4,16.7,117.0,45.5,38.3
Telangana - Plains District 668,28701,869.9,43.6,27.0,Maize,60.9,392.91,7202.4,237.08,1205.2,75.0,95.6,55.0,11.5
Gujarat - Urban District 669,8149,948.5,45.0,28.3,Rice,30.0,133.71,4792.6,38.98,1157.3,79.7,112.8,32.9,27.5
Uttar Pradesh - Rural District 670,41580,556.8,59.0,18.1,Maize,46.6,209.06,5218.1,118.75,1002.2,85.5,114.5,38.4,26.1
Telangana - South District 671,26083,1372.6,54.3,29.0,Rice,49.2,300.61,6372.1,84.17,1872.7,46.5,91.3,47.4,46.5
Andhra Pradesh - Coastal District 672,15975,1159.7,56.1,32.6,Pulses,30.0,108.08,1241.4,19.46,803.6,56.7,106.3,51.1,41.5
Bihar - Hills District 673,12364,485.0,57.6,31.4,Maize,30.0,75.73,3055.9,68.15,609.4,89.6,103.8,55.4,26.4
Gujarat - Hills District 674,7685,1069.3,58.0,26.2,Wheat,30.0,136.43,3041.8,38.47,1433.4,63.1,80.7,49.3,32.5
Jharkhand - Hills District 675,16763,723.0,43.3,29.0,Maize,30.0,123.2,3953.6,62.59,583.4,75.8,102.2,61.5,35.8
Bihar - Plateau District 676,19541,1358.2,79.6,22.8,Maize,30.0,167.42,3175.1,82.13,638.1,51.4,102.3,39.1,22.2
Odisha - Urban District 677,10336,1457.7,57.4,31.9,Rice,30.0,235.55,4428.2,65.32,1216.5,50.0,88.9,64.5,47.7
Arunachal Pradesh - West District 678,26806,661.6,26.3,23.6,Wheat,44.7,65.52,6359.8,61.72,2288.4,82.4,104.1,73.6,28.4
Manipur - North District 679,28189,973.7,50.6,25.6,Wheat,53.7,164.45,6641.4,63.68,2591.6,81.6,101.8,29.1,14.0
Jharkhand - Valley District 680,143686,899.0,51.0,32.0,Rice,247.4,1345.71,34995.4,547.39,10322.3,67.6,96.6,94.2,0.0
Tripura - East District 681,31689,1001.3,72.5,24.0,Maize,37.8,227.15,3691.8,124.54,728.5,61.8,83.4,66.3,32.0
Puducherry - West District 682,38466,1080.4,43.1,30.1,Maize,103.8,665.09,12846.3,304.52,2113.0,51.4,105.7,48.7,7.9
Jharkhand - East District 683,29737,1117.8,70.5,32.5,Rice,49.0,276.17,5611.1,103.17,2035.6,55.4,93.5,39.4,21.5
Nagaland - Valley District 684,54595,1043.1,68.5,29.0,Maize,50.3,342.86,5468.3,134.94,960.1,56.6,111.9,49.5,0.0
Arunachal Pradesh - Plains District 685,49505,629.6,73.0,25.7,Maize,52.2,197.97,4902.9,112.63,1026.0,77.9,111.5,53.1,21.6
Uttar Pradesh - North District 686,14646,397.2,71.0,28.0,Pulses,30.0,10.02,1240.5,17.26,891.0,65.0,105.5,38.1,42.2
Odisha - Plains District 687,25827,872.0,35.5,25.6,Rice,38.4,190.59,4821.7,60.09,1517.0,63.9,108.2,56.3,28.8
Telangana - North District 688,43932,794.4,92.0,30.5,Maize,62.3,336.42,5897.5,155.34,1197.2,79.0,99.8,48.4,14.6
Karnataka - West District 689,147497,865.7,51.7,32.1,Wheat,271.6,834.97,28028.6,331.3,13672.9,65.2,103.4,63.8,0.0
Punjab - Rural District 690,33361,1732.1,61.7,25.6,Maize,50.3,477.32,5531.4,170.74,904.9,30.3,107.7,48.4,17.7
Sikkim - North District 691,57663,660.5,48.3,25.6,Pulses,122.8,203.03,5658.7,89.25,4025.7,71.8,121.3,47.2,0.0
Jharkhand - South District 692,7941,1697.0,64.1,21.3,Pulses,30.0,77.38,1244.0,23.16,916.7,54.9,91.2,43.0,59.4
Punjab - Urban District 693,13589,987.4,15.1,21.9,Rice,30.0,92.52,5748.2,47.57,1243.1,62.6,107.5,47.0,29.1
Chhattisgarh - Rural District 694,12996,693.9,64.6,22.7,Maize,30.0,141.66,3610.2,68.75,568.4,77.5,91.2,62.9,56.8
Madhya Pradesh - Valley District 695,21264,1061.2,57.2,25.1,Rice,30.0,156.62,3531.8,57.99,1119.7,67.7,107.6,37.5,44.6
West Bengal - Plateau District 696,34965,1648.8,55.2,24.9,Maize,30.0,284.53,3965.2,110.92,662.8,37.4,106.5,61.5,24.9
Kerala - Central District 697,22590,1168.1,75.8,32.6,Wheat,33.8,137.78,3143.2,41.4,1703.7,74.2,132.0,29.7,26.2
Assam - North District 698,18599,1310.6,83.8,31.9,Maize,30.0,239.68,3179.6,96.09,610.6,42.8,95.0,51.1,41.6
Kerala - East District 699,80410,1467.4,61.3,23.0,Maize,108.3,960.86,12767.9,368.44,2045.9,48.1,113.5,69.0,0.0
Ladakh - Rural District 700,11499,1416.7,69.6,21.9,Wheat,30.0,204.25,2472.8,56.53,1520.2,62.8,119.2,39.5,41.7
Jammu & Kashmir - Valley District 701,31006,1100.5,57.2,30.0,Wheat,30.0,157.86,2887.9,47.75,1656.1,45.5,104.4,68.3,11.9
Gujarat - Coastal District 702,10159,1399.6,82.6,23.1,Rice,30.0,223.35,3817.3,68.41,1191.8,50.8,92.2,34.5,64.6
Jharkhand - Rural District 703,219720,949.1,32.4,22.1,Rice,386.6,1824.98,58762.9,858.65,14952.1,76.8,102.0,85.5,0.0
Telangana - East District 704,77978,944.4,63.5,25.4,Pulses,105.7,359.14,5072.1,79.17,3052.9,52.9,102.6,76.6,1.2
Arunachal Pradesh - West District 705,13309,1087.2,76.0,25.1,Wheat,30.0,168.1,3473.8,49.8,1477.9,63.5,101.4,49.4,16.3
Chhattisgarh - Valley District 706,166042,671.4,46.8,20.9,Rice,188.9,582.51,27429.0,297.78,7231.2,75.6,118.9,86.8,0.0
Jharkhand - Urban District 707,115355,893.5,75.4,25.0,Rice,129.5,826.78,13027.5,343.2,5020.6,57.6,104.9,65.5,0.0
Sikkim - South District 708,70101,930.5,44.3,28.0,Rice,66.6,328.4,9751.3,105.49,2500.6,66.4,107.3,71.8,0.0
Himachal Pradesh - Urban District 709,58052,1303.8,76.1,25.5,Rice,97.0,664.82,11082.2,231.21,4354.8,54.2,105.9,62.4,0.0
Uttarakhand - East District 710,33143,895.2,24.2,28.8,Maize,62.4,353.21,8729.7,179.62,1361.7,56.4,98.8,70.9,32.0
Gujarat - East District 711,1749,1183.3,67.0,27.0,Rice,30.0,185.93,4450.3,64.46,1221.8,74.1,98.4,55.3,52.7
Sikkim - Coastal District 712,51067,1524.2,38.7,24.8,Pulses,94.5,215.72,5224.5,61.79,2524.4,29.4,104.2,50.6,2.0
Arunachal Pradesh - East District 713,82834,756.5,34.9,20.2,Rice,102.9,393.58,14140.9,170.23,4051.9,76.7,112.4,48.3,0.0
Jharkhand - North District 714,27671,928.9,41.1,28.2,Maize,30.0,99.96,4040.7,74.92,590.8,72.1,108.9,24.2,18.5
Maharashtra - North District 715,18043,1094.8,69.6,27.9,Maize,41.5,287.09,4503.9,125.37,833.5,54.2,83.9,68.4,27.2
Kerala - Plateau District 716,16599,652.5,44.5,26.4,Wheat,30.0,119.55,2806.3,41.19,1545.0,88.2,84.5,33.8,46.5
Jharkhand - West District 717,14395,1167.6,26.2,26.2,Rice,30.0,160.59,5167.7,49.69,1203.4,56.6,115.7,65.8,42.0
Jharkhand - South District 718,9200,645.6,64.7,20.4,Rice,30.0,138.54,3191.7,56.59,1182.9,72.8,91.8,15.1,41.0
Karnataka - Valley District 719,60573,390.6,76.6,19.8,Rice,124.2,583.46,13978.7,192.39,5059.8,98.5,107.2,34.2,0.0
Puducherry - Rural District 720,31082,671.4,60.9,30.6,Maize,30.0,113.25,3804.8,75.07,593.4,86.3,86.3,36.0,21.9
Ladakh - Delta District 721,17534,805.9,55.2,28.9,Rice,30.4,105.39,4050.0,51.8,1274.8,63.4,94.6,49.0,24.2
Jammu & Kashmir - Valley District 722,45137,702.7,56.9,31.6,Maize,59.6,270.13,7550.8,146.76,1205.2,84.9,117.3,53.0,32.4
Uttarakhand - Urban District 723,32876,979.4,83.2,24.6,Maize,68.7,408.78,6692.0,188.44,1267.8,69.7,103.8,52.6,11.1
Tripura - South District 724,116964,1063.7,61.4,33.0,Rice,204.8,1219.16,25222.3,531.11,8011.6,67.2,115.1,64.6,0.0
Telangana - Delta District 725,54785,200.0,60.5,26.0,Maize,42.3,46.33,4440.4,89.08,920.6,92.5,105.9,38.5,7.6
Manipur - West District 726,88494,920.7,75.8,27.2,Wheat,159.1,620.01,17681.4,228.88,8277.5,44.4,108.9,50.6,0.0
Delhi - Urban District 727,14890,1570.0,66.7,28.2,Wheat,30.0,206.6,3342.5,60.82,1441.3,53.9,117.8,41.1,27.4
Haryana - Central District 728,10545,1622.1,62.8,20.7,Wheat,30.0,201.18,3470.0,64.03,1443.0,36.7,95.0,46.6,37.5
